Vg,Id,Ig,Vd
-8,7.34228E-09,-2.231E-12,2
-9,3.14119E-09,-2.313E-12,2
-10,1.2169E-09,-2.384E-12,2
-11,6.53152E-10,-2.414E-12,2
-12,4.68213E-10,-2.462E-12,2
-13,1.69199E-10,-2.508E-12,2
-14,8.579E-12,-2.489E-12,2
-15,1.12E-12,-2.465E-12,2
-14,1.4394E-11,-2.081E-12,2
-13,2.34961E-10,-1.891E-12,2
-12,6.36929E-10,-1.766E-12,2
-11,1.06595E-09,-1.674E-12,2
-10,2.36294E-09,-1.59E-12,2
-9,6.16604E-09,-1.515E-12,2
-8,1.37727E-08,-1.548E-12,2
-7,2.43373E-08,-1.431E-12,2
-6,3.97366E-08,-1.353E-12,2
-5,5.86274E-08,-1.347E-12,2
-4,8.3523E-08,-1.279E-12,2
-3,1.16689E-07,-1.277E-12,2
-2,1.61949E-07,-1.226E-12,2
-1,2.15247E-07,-1.165E-12,2
0,2.81324E-07,-1.122E-12,2
0,4.15041E-07,-1.422E-12,5
1,5.3828E-07,-1.191E-12,5
2,6.72608E-07,-1.12E-12,5
3,8.39938E-07,-1.08E-12,5
4,1.024769E-06,-1.006E-12,5
5,1.23469E-06,-9.99E-13,5
6,1.47315E-06,-8.88E-13,5
7,1.74795E-06,-8.8E-13,5
8,2.06188E-06,-8.17E-13,5
9,2.40236E-06,-7.43E-13,5
10,2.79778E-06,-6.99E-13,5
11,3.29404E-06,-6.48E-13,5
12,4.4243E-06,-6.02E-13,5
13,5.27218E-06,-5.65E-13,5
14,6.0601E-06,-4.91E-13,5
15,6.77533E-06,-4.48E-13,5
16,7.91529E-06,-4.2E-13,5
17,8.78442E-06,-3.82E-13,5
18,9.81325E-06,-3.3E-13,5
19,1.10932E-05,-3.73E-13,5
20,1.12762E-05,-2.6E-13,5
21,1.28188E-05,-1.21E-13,5
22,1.52085E-05,-9.8E-14,5
23,2.04228E-05,-6E-14,5
24,2.20648E-05,-4.6E-14,5
25,2.36289E-05,2.2E-14,5
26,2.5631E-05,2.1E-14,5
27,2.69123E-05,7.6E-14,5
28,3.01545E-05,1.83E-13,5
29,2.66905E-05,2.41E-13,5
30,3.02625E-05,2.98E-13,5
29,2.77831E-05,-6.5E-14,5
28,2.52528E-05,-2.02E-13,5
27,2.27021E-05,-2.95E-13,5
26,2.10454E-05,-3.89E-13,5
25,2.02881E-05,-4.77E-13,5
24,1.8033E-05,-5.16E-13,5
23,1.62708E-05,-5.88E-13,5
22,1.50694E-05,-6.41E-13,5
21,1.41392E-05,-6.94E-13,5
20,1.16228E-05,-7.69E-13,5
19,1.18455E-05,-7.92E-13,5
18,1.06998E-05,-8.83E-13,5
17,9.84473E-06,-9.27E-13,5
16,8.86442E-06,-9.82E-13,5
15,7.94729E-06,-1.033E-12,5
14,7.09637E-06,-1.077E-12,5
13,6.33759E-06,-1.141E-12,5
12,5.54857E-06,-1.19E-12,5
11,4.86967E-06,-1.222E-12,5
10,4.01681E-06,-1.286E-12,5
9,3.42753E-06,-1.322E-12,5
8,2.53058E-06,-1.384E-12,5
7,2.04288E-06,-1.431E-12,5
6,1.70395E-06,-1.486E-12,5
5,1.36289E-06,-1.522E-12,5
4,1.128E-06,-1.594E-12,5
3,9.06674E-07,-1.67E-12,5
2,7.16005E-07,-1.716E-12,5
1,5.25238E-07,-1.781E-12,5
0,4.0182E-07,-1.874E-12,5
-1,3.01528E-07,-1.916E-12,5
-2,2.19877E-07,-1.958E-12,5
-3,1.58994E-07,-1.981E-12,5
-4,1.11536E-07,-2.029E-12,5
-5,7.84887E-08,-2.08E-12,5
-6,5.527E-08,-2.103E-12,5
-7,3.92045E-08,-2.151E-12,5
-8,2.63146E-08,-2.216E-12,5
-9,1.65971E-08,-2.27E-12,5
-10,8.94677E-09,-2.349E-12,5
-11,3.92752E-09,-2.443E-12,5
-12,1.50728E-09,-2.511E-12,5
-13,7.0847E-10,-2.61E-12,5
-14,4.60284E-10,-2.592E-12,5
-15,1.63401E-10,-2.618E-12,5
-14,5.42541E-10,-2.126E-12,5
-13,1.015126E-09,-1.951E-12,5
-12,2.35538E-09,-1.82E-12,5
-11,6.61135E-09,-1.684E-12,5
-10,1.48594E-08,-1.685E-12,5
-9,2.56259E-08,-1.592E-12,5
-8,4.05359E-08,-1.568E-12,5
-7,5.92211E-08,-1.531E-12,5
-6,8.49684E-08,-1.472E-12,5
-5,1.23149E-07,-1.469E-12,5
-4,1.72311E-07,-1.367E-12,5
-3,2.48492E-07,-1.309E-12,5
-2,3.3581E-07,-1.237E-12,5
-1,4.39246E-07,-1.211E-12,5
0,5.53237E-07,-1.127E-12,5
0,9.85761E-07,-1.478E-12,10
1,1.20185E-06,-1.356E-12,10
2,1.44985E-06,-1.24E-12,10
3,1.73079E-06,-1.149E-12,10
4,1.96815E-06,-1.073E-12,10
5,2.34886E-06,-1.024E-12,10
6,7.79811E-06,-9.57E-13,10
7,6.20084E-06,-9.01E-13,10
8,6.97768E-06,-8.67E-13,10
9,1.13891E-05,-1.252E-12,10
10,2.7469E-05,-8.31E-13,10
11,3.50605E-05,-7.12E-13,10
12,5.10089E-05,-6.84E-13,10
13,7.07747E-05,-5.54E-13,10
14,7.37672E-05,-5.93E-13,10
15,8.21898E-05,-5.64E-13,10
16,9.27012E-05,-4.73E-13,10
17,0.000115193,-5.8E-13,10
18,0.000115262,-4.08E-13,10
19,0.000126516,-3.58E-13,10
20,0.00013139,-3E-13,10
21,0.000153081,-3.03E-13,10
22,0.000170542,-2.27E-13,10
23,0.000187786,-1.61E-13,10
24,0.000197932,-1.45E-13,10
25,0.000213341,-4.8E-14,10
26,0.000230598,4.3E-14,10
27,0.000242357,1.96E-13,10
28,0.000280044,1.82E-13,10
29,0.000288215,2.29E-13,10
30,0.000307549,4.34E-13,10
29,0.000284743,-1.84E-13,10
28,0.000260985,-3.59E-13,10
27,0.000243095,-3.68E-13,10
26,0.000225059,-4.48E-13,10
25,0.000208899,-4.92E-13,10
24,0.000194289,-5.71E-13,10
23,0.000180789,-6.65E-13,10
22,0.000168591,-7.13E-13,10
21,0.000155926,-7.96E-13,10
20,0.000143532,-8.62E-13,10
19,0.000132846,-9.26E-13,10
18,0.000121366,-9.59E-13,10
17,0.000110547,-1.002E-12,10
16,0.000100004,-1.101E-12,10
15,9.03495E-05,-1.13E-12,10
14,8.06715E-05,-1.174E-12,10
13,7.14304E-05,-1.227E-12,10
12,6.32504E-05,-1.321E-12,10
11,5.49769E-05,-1.358E-12,10
10,4.75916E-05,-1.437E-12,10
9,4.05837E-05,-1.511E-12,10
8,3.42224E-05,-1.574E-12,10
7,2.85727E-05,-1.622E-12,10
6,2.35528E-05,-1.643E-12,10
5,1.90601E-05,-1.669E-12,10
4,1.51512E-05,-1.724E-12,10
3,1.2025E-05,-1.794E-12,10
2,9.38072E-06,-1.812E-12,10
1,7.22688E-06,-1.823E-12,10
0,5.51289E-06,-1.883E-12,10
-1,4.12441E-06,-1.945E-12,10
-2,3.09001E-06,-1.986E-12,10
-3,2.27242E-06,-2.028E-12,10
-4,1.62886E-06,-2.092E-12,10
-5,1.10724E-06,-2.162E-12,10
-6,7.36228E-07,-2.213E-12,10
-7,4.79365E-07,-2.315E-12,10
-8,3.10645E-07,-2.35E-12,10
-9,1.90578E-07,-2.441E-12,10
-10,1.116E-07,-2.49E-12,10
-11,6.21181E-08,-2.558E-12,10
-12,3.5051E-08,-2.614E-12,10
-13,2.02167E-08,-2.724E-12,10
-14,9.53793E-09,-2.768E-12,10
-15,3.31703E-09,-2.871E-12,10
-14,1.04345E-08,-2.212E-12,10
-13,2.3099E-08,-2.032E-12,10
-12,4.61474E-08,-1.902E-12,10
-11,9.07214E-08,-1.873E-12,10
-10,1.75901E-07,-1.773E-12,10
-9,3.16776E-07,-1.7E-12,10
-8,5.53301E-07,-1.635E-12,10
-7,8.66886E-07,-1.598E-12,10
-6,1.33525E-06,-1.559E-12,10
-5,1.9126E-06,-1.496E-12,10
-4,2.66823E-06,-1.435E-12,10
-3,3.60316E-06,-1.385E-12,10
-2,4.8394E-06,-1.331E-12,10
-1,6.31022E-06,-1.277E-12,10
0,8.31856E-06,-1.252E-12,10
