Vd,Id,Ig,Vg
27,4.8102E-05,-1.251E-12,10
26,4.234E-05,-1.142E-12,10
25,3.74649E-05,-2.41E-13,10
24,3.34431E-05,2.363E-12,10
23,3.11301E-05,8.94E-12,10
22,2.95191E-05,1.1009E-11,10
21,2.89766E-05,1.5625E-11,10
20,2.91936E-05,1.7665E-11,10
19,2.8797E-05,1.6889E-11,10
18,2.85071E-05,1.6697E-11,10
17,2.80218E-05,1.5569E-11,10
16,2.81423E-05,1.81E-11,10
15,2.8244E-05,1.8504E-11,10
14,2.83547E-05,2.1236E-11,10
13,2.81514E-05,1.9343E-11,10
12,2.78134E-05,1.961E-11,10
11,2.69802E-05,1.8631E-11,10
10,2.63708E-05,1.8082E-11,10
9,2.5506E-05,1.7561E-11,10
8,2.4907E-05,1.9965E-11,10
7,2.40726E-05,2.1272E-11,10
6,2.29691E-05,2.0941E-11,10
5,2.14251E-05,1.9577E-11,10
4,1.91476E-05,2.045E-11,10
3,1.64905E-05,2.3673E-11,10
2,1.24654E-05,2.1611E-11,10
1,6.87754E-06,1.8236E-11,10
0,-3.80688E-10,2.2532E-11,10
0,-1.41982E-09,4.5E-14,15
1,3.50929E-05,-1.016E-12,15
2,7.28472E-05,-1.178E-12,15
3,0.000110532,-1.348E-12,15
4,0.000146896,-4.417E-12,15
5,0.000177092,-1.5231E-11,15
6,0.000200519,-2.1716E-11,15
7,0.000219022,-2.2391E-11,15
8,0.000232709,-2.1987E-11,15
9,0.000237732,-4.4211E-11,15
10,0.00024673,-1.4559E-11,15
11,0.000255267,-1.4524E-11,15
12,0.000258597,-1.8636E-11,15
13,0.000259409,-2.7491E-11,15
14,0.000261449,-1.9909E-11,15
15,0.000265461,-1.8393E-11,15
16,0.000267573,-1.9078E-11,15
17,0.000270288,-1.9654E-11,15
18,0.00024516,-6.0774E-11,15
19,0.000250038,-5.447E-12,15
20,0.000253487,-1.5082E-11,15
21,0.000249467,-3.2034E-11,15
22,0.000252119,-1.786E-11,15
23,0.000253514,-1.9083E-11,15
24,0.000253594,-1.758E-11,15
25,0.000250531,-2.3079E-11,15
26,0.000247231,-2.4965E-11,15
27,0.000245468,-2.3698E-11,15
28,0.000246842,-2.0873E-11,15
29,0.000246763,-2.0199E-11,15
30,0.000246292,-2.2432E-11,15
29,0.000227276,-2.599E-12,15
28,0.000211668,-1.424E-12,15
27,0.000197364,-9E-15,15
26,0.00018722,4.548E-12,15
25,0.000178125,4.443E-12,15
24,0.000172036,1.0201E-11,15
23,0.000168556,1.4146E-11,15
22,0.000169051,1.8673E-11,15
21,0.000169049,1.8545E-11,15
20,0.000170075,2.0136E-11,15
19,0.000171116,2.0769E-11,15
18,0.000170874,1.7406E-11,15
17,0.000175725,2.7898E-11,15
16,0.000177374,2.5073E-11,15
15,0.000177891,2.4247E-11,15
14,0.000178817,2.5219E-11,15
13,0.000176907,2.1929E-11,15
12,0.000174975,2.4696E-11,15
11,0.000173334,2.2244E-11,15
10,0.000167023,1.8087E-11,15
9,0.000164592,2.5437E-11,15
8,0.000153718,1.6299E-11,15
7,0.000145768,2.3503E-11,15
6,0.00013055,1.2553E-11,15
5,0.000114214,1.5186E-11,15
4,9.96128E-05,2.4955E-11,15
3,7.88157E-05,1.9834E-11,15
2,5.45433E-05,1.8543E-11,15
1,2.80392E-05,2.0966E-11,15
0,-1.26231E-09,1.7534E-11,15
0,-2.1184E-09,-6.58E-13,20
1,5.90377E-05,-1.13E-12,20
2,0.000127438,-1.975E-12,20
3,0.00019381,-2.8167E-11,20
4,0.000258456,-8.978E-12,20
5,0.000316222,-1.1912E-11,20
6,0.000363764,-2.0201E-11,20
7,0.000399047,-2.382E-11,20
8,0.000428129,-2.5362E-11,20
9,0.000446707,-2.5095E-11,20
10,0.000460334,-2.6031E-11,20
11,0.000474635,-2.5081E-11,20
12,0.000477298,-3.7186E-11,20
13,0.000489325,-1.5349E-11,20
14,0.000494366,-1.796E-11,20
15,0.0004965,-1.8036E-11,20
16,0.000501371,-1.7533E-11,20
17,0.00049981,-2.1469E-11,20
18,0.000496423,-2.2586E-11,20
19,0.000485384,-4.0459E-11,20
20,0.000487262,-1.5647E-11,20
21,0.000487598,-1.9728E-11,20
22,0.000483606,-2.2323E-11,20
23,0.000478788,-2.9097E-11,20
24,0.000471899,-2.4092E-11,20
25,0.000468613,-2.3009E-11,20
26,0.000467688,-2.1404E-11,20
27,0.000463981,-2.2682E-11,20
28,0.00046442,-1.9856E-11,20
29,0.000463008,-2.1173E-11,20
30,0.000464714,-2.0169E-11,20
29,0.000438475,-2.611E-12,20
28,0.000417318,-1.422E-12,20
27,0.000396235,-1.215E-12,20
26,0.000376372,-1.75E-13,20
25,0.000362271,5.291E-12,20
24,0.000353636,1.3204E-11,20
23,0.000350511,1.7602E-11,20
22,0.000351186,2.308E-11,20
21,0.000351307,2.1002E-11,20
20,0.000348327,1.8116E-11,20
19,0.000345486,1.9302E-11,20
18,0.00034281,1.6892E-11,20
17,0.000335644,1.6001E-11,20
16,0.000327623,1.4634E-11,20
15,0.000321169,1.6738E-11,20
14,0.000322182,2.9522E-11,20
13,0.000318973,2.2274E-11,20
12,0.000312579,2.2748E-11,20
11,0.000306765,2.3837E-11,20
10,0.000296246,2.0298E-11,20
9,0.000285949,2.2965E-11,20
8,0.000272026,2.2297E-11,20
7,0.000254151,2.2054E-11,20
6,0.000231591,2.1708E-11,20
5,0.000204506,2.1621E-11,20
4,0.000171383,2.0554E-11,20
3,0.000132668,1.7973E-11,20
2,9.01559E-05,1.9917E-11,20
1,4.46615E-05,2.0266E-11,20
0,-1.88735E-09,2.0237E-11,20
